date,code,weight
2023-05-08,7222,0.2441375118306886
2023-05-08,8074,0.15069613175711946
2023-05-08,8130,0.22011109697943732
2023-05-09,6420,0.1847874013675281
2023-05-09,6750,0.1958780017505413
2023-05-09,7222,0.24679670687646837
2023-05-09,8074,0.1510549314590696
2023-05-09,8130,0.22148295854639263
2023-05-10,6420,0.18580025913246107
2023-05-10,6750,0.19638585280362394
2023-05-10,7222,0.2417030289777975
2023-05-10,8074,0.15208856194538636
2023-05-10,8130,0.22402229714073113
2023-05-11,6284,0.12679854897218865
2023-05-11,6379,0.1531105199516324
2023-05-11,7222,0.277136638452237
2023-05-11,8074,0.17986940749697702
2023-05-11,8130,0.26308488512696493
2023-05-12,6284,0.15548395430277284
2023-05-12,6379,0.18386053543066
2023-05-12,8074,0.22266394932736283
2023-05-12,8130,0.3230069655739901
2023-05-12,9621,0.11498459536521423
2023-05-15,6284,0.29083373744993446
2023-05-15,7525,0.11118594751872407
2023-05-15,9621,0.21933653034466655
2023-05-15,9739,0.1439059216552616
2023-05-15,9755,0.23473786303141334
2023-05-16,3040,0.10117517878525419
2023-05-16,6284,0.2982010251458916
2023-05-16,7525,0.11846445829606175
2023-05-16,9621,0.23655501758271924
2023-05-16,9755,0.24560432019007322
2023-05-17,7269,1.0
2023-05-18,7269,1.0
2023-05-19,7269,1.0
2023-05-22,7269,1.0
2023-05-23,1431,0.09019920396647663
2023-05-23,3040,0.10944483018277477
2023-05-23,6284,0.3095778284127248
2023-05-23,9621,0.242311039831014
2023-05-23,9755,0.2484670976070098
2023-05-24,7269,1.0
2023-05-25,7269,1.0
2023-05-26,7269,1.0
2023-05-29,7269,1.0
2023-05-30,7269,1.0
2023-05-31,7269,1.0
2023-06-01,7269,1.0
2023-06-02,7269,1.0
2023-06-05,7269,1.0
2023-06-06,1431,0.0932258032516938
2023-06-06,3040,0.11601146723010843
2023-06-06,6284,0.3067930442718408
2023-06-06,9621,0.2412284617444871
2023-06-06,9755,0.24274122350186988
2023-06-07,1431,0.09301819189579745
2023-06-07,3040,0.11653502781241958
2023-06-07,6284,0.30649088425678483
2023-06-07,9621,0.24454639032404932
2023-06-07,9755,0.2394095057109488
